hsn_id,hsn_code,description,category_id,subcategory_id,sector_id
322dd67a-7439-44cb-b3f9-4872c20001f5,02011000,CARCASES AND HALF-CARCASES,5fec3c93-5039-4d13-92d3-249d5124db4f,672bd439-4c56-415e-8f3d-dc0fb705881e,51
256d8f67-00fe-49d0-b804-8c922c9b71ef,02012000,OTHER CUTS WITH BONE IN,5fec3c93-5039-4d13-92d3-249d5124db4f,672bd439-4c56-415e-8f3d-dc0fb705881e,51
089f3912-6752-4a80-91c7-d28303064045,02013000,BONELESS,5fec3c93-5039-4d13-92d3-249d5124db4f,672bd439-4c56-415e-8f3d-dc0fb705881e,51
a7a8ea0a-b342-4546-9f0d-77e88a0a9d47,02021000,CARCASES AND HALF-CARCASES,5fec3c93-5039-4d13-92d3-249d5124db4f,41e9ac73-6ce2-4465-85a5-3b46c7943e3d,51
15a5c447-8202-4137-9ce5-36799fad397d,02022000,"OTHER CUTS, WITH BONE IN",5fec3c93-5039-4d13-92d3-249d5124db4f,41e9ac73-6ce2-4465-85a5-3b46c7943e3d,51
9cd0b37b-ef06-4728-bde4-d1fbdca1367d,02023000,BONELESS,5fec3c93-5039-4d13-92d3-249d5124db4f,41e9ac73-6ce2-4465-85a5-3b46c7943e3d,51
ff95433a-7115-4099-93f4-f8540f3b4fed,02031100,CARCASES AND HALF-CARCASES,5fec3c93-5039-4d13-92d3-249d5124db4f,ac393c8b-0b3d-48a3-9ce4-c8e3ff61e809,51
000eb810-391a-451e-a44b-5690c6bbe5b2,02031200,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",5fec3c93-5039-4d13-92d3-249d5124db4f,ac393c8b-0b3d-48a3-9ce4-c8e3ff61e809,51
4b0b89aa-7228-46e3-9cac-42a632c6b099,02031900,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,ac393c8b-0b3d-48a3-9ce4-c8e3ff61e809,51
ce173af7-74c3-4e1f-b7c4-ef95008bcf8d,02032100,CARCASES AND HALF-CARCASES,5fec3c93-5039-4d13-92d3-249d5124db4f,ac393c8b-0b3d-48a3-9ce4-c8e3ff61e809,51
b6f44674-ebd2-4ff3-82cc-b000d4f8e6b6,02032200,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",5fec3c93-5039-4d13-92d3-249d5124db4f,ac393c8b-0b3d-48a3-9ce4-c8e3ff61e809,51
5f4023ab-dfd1-4dc2-a089-4db309a26ea0,02032900,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,ac393c8b-0b3d-48a3-9ce4-c8e3ff61e809,51
8721b5d3-babf-4a25-9c0b-57a75b3b833c,02041000,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
abd1bb45-22e4-4c80-b15e-9a5e58cd1110,02042100,CARCASSES AND HALF-CARCASSES,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
939bd52c-c8cb-4b28-84d7-e35fdc1a7fa2,02042200,OTHER CUTS WITH BONE IN,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
4278ecb2-2b40-4621-89ff-ec98d8391cba,02042300,BONELESS,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
6f996c80-4b78-4e30-9a20-7f10691aafbe,02043000,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
9052df0e-651c-4745-8fc6-029a2de62fee,02044100,CARCASSES AND HALF-CARCASSES,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
7f80efb9-8c87-4081-a120-0bb912f30380,02044200,OTHER CUTS WITH BONE IN,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
d88eeefd-5725-4810-b228-60acacd8b9e5,02044300,BONELESS,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
c0cb3f16-6967-4c49-8327-c7b95473e8fa,02045000,MEAT OF GOATS,5fec3c93-5039-4d13-92d3-249d5124db4f,3efc44e8-9776-4a14-85f1-601c8930a86d,51
af0c5265-4c12-4d26-a583-a627ccbf1202,02050000,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,8cb33221-ade4-48ea-aea9-c0feec09ce68,51
48e209cd-51b4-42e7-bde2-282a3f74bd9e,02061000,"OF BOVINE ANIMALS, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
