sac_id,sac_code,description,sac_group_id,sector_id
5bc175bc-24ee-4600-b4d5-287241de5c4b,996514,"Transport services via pipeline of other chemicals, coal slurry and of other goods",6,99
c8c7dda6-09ab-4193-b7cf-6f1ae9906d59,996515,"Moving services of household goods, office equipment and furniture",6,99
820101ac-071c-46f5-a373-7e028326feaf,996516,"Road transport services of goods including letters, parcels, live animals, containers and the like in referigerated vehicles, trucks, trailers or any other motor vehicle or in man or animal driven vehicles by any person other than a goods transport agency",6,99
2da74fd2-4c1d-4179-9259-f5ca273aea3e,996517,"Railway transport services of goods including letters, parcels, live animals, household and office furniture, intermodal containers, bulk cargo and the like by  Container Transport Operators (CTOs) other than Railways",6,99
c19639be-c46e-4583-8394-88d3e5f7e46c,996518,Transport of goods by ropeways,6,99
4eef83a5-6e45-4c7e-868e-3a0073ee2eb4,996519,Other land transport services of goods nowhere else classified,6,99
d1e57648-0469-4423-b035-85058016abeb,996521,"Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels, tankers, bulk cargo vessels, container ships and the like",6,99
512a8d0d-73de-423e-8be3-1830c1dbde3c,996522,"Inland water transport services of goods by refrigerator vessels, tankers and other vessels",6,99
abab1779-f05c-4c6c-af9d-010e1e5e467a,996523,"International water transport services of goods by refrigerated vessels,  tankers, bulk cargo vessels, container ships and the like",6,99
7e27c332-d2ce-4120-8145-3d484af4c812,996531,Air transport services of letters and parcels and other goods,6,99
8411e9bd-f092-4545-9bec-ad9e49aed072,996532,Space transport services of freight,6,99
3678939c-08a1-4594-9393-5d39ef4f824e,996540,Multimodal Transport of goods from a place in India to another place in India,6,99
39d267a3-68cb-4bcf-a411-c80994649a1a,996541,Multimodal Transport of goods from a place in India to another place in India,6,99
d28428d3-7822-4e3e-8424-8d7f25e51258,996601,"Rental services of road vehicles including buses, coaches, cars, trucks and other motor vehicles, operator",7,99
884b9241-fb4f-4f68-bd05-ea196d1b03b3,996602,"Rental services of water vessels including passenger vessels, freight vessels and the like operator",7,99
5261c68d-4447-4402-9f72-1be2a531d6ef,996603,"Rental services of aircraft including passenger aircrafts, freight aircrafts and the like operator",7,99
37e00ef1-d8d7-40ca-95e2-052720b6b5f1,996604,Rental services of passenger vessels  with operator,7,99
135a6da3-b30a-4e04-8dbd-9b28abda7e9f,996605,Rental services of goods vessels with operator,7,99
73cffd5e-bc41-47eb-9be1-28bfff48c49d,996606,Rental service of passenger aircraft with operator,7,99
9be0e2e5-5cb1-43de-a8a7-711b506b44c6,996607,Rental service of goods aircraft with operator,7,99
eb7353ab-36eb-4691-b03c-24d5766fde0d,996609,Rental services of other transport vehicles nowhere else classified operator,7,99
5adefb01-de60-45e7-96b5-0b01decbf478,996711,Container handling services,8,78
0081e23e-e0ea-4fe4-b690-66b9d4b7f516,996712,Customs House Agent services,8,78
53c07506-4e72-4bab-929e-21fa834b269c,996713,Clearing and forwarding services,8,78
e2cd3a68-cca6-4866-b3bb-091cad7730cb,996719,Other cargo and baggage handling services,8,78
94918f2e-21a4-4e0b-a136-b1d7deaca33d,996721,Refrigerated storage services,8,78
c124d6b2-e898-4107-bfa9-445dd0a965bb,996722,Bulk liquid or gas storage services,8,78
dbd02d73-3c9d-4fd2-876c-af7a5ed0dad7,996729,Other storage and warehousing services,8,78
f93e69df-a8c8-4f32-a6f3-8ae279b542c6,996731,Railway pushing or towing services,8,78
46007833-aeec-49d1-8edf-53d183d4fbd8,996739,Other supporting services for railway transport nowhere else classified,8,78
47a65e5e-0ef6-40e1-9da1-08a2edbfd3ee,996741,Bus station services,8,78
d4aeb95e-4d39-4acd-9681-30b0e3f7ab5c,996742,"Operation services of national highways, state highways, expressways, roads and streets; bridges and tunnel operation services",8,78
479ed56c-3356-499b-ad72-33903f60f0bd,996743,Parking lot services,8,78
84565339-0ecb-4384-99fb-e083d2559a92,996744,Towing services for commercial and private vehicles,8,78
07c97a09-b413-4c38-bcd1-eb27c059716e,996749,Other supporting services for road transport nowhere else classified,8,78
25fc0a99-fc15-4450-bcda-73aa7afb9a94,996751,"Port and waterway operation services (excluding cargo handling) such as operation services of ports, docks, light houses, light ships and the like",8,78
3686a087-6979-473e-ab0a-c43aa7bba5ec,996752,Pilotage and berthing services,8,78
ad235ed7-de78-430c-96d7-e0675b5ae7d5,996753,Vessel salvage and refloating services,8,78
4f322044-37a9-485c-ad45-fb53c3e98ebd,996754,"Maintenance, repair or overhaul services in respect of ships and other vessels, their engines and other components or parts",8,78
84d42eda-d52e-47bb-a067-10190f022a35,996759,Other supporting services for water transport nowhere else classified,8,78
b1184459-ae0c-4d41-8a29-12919ac4cede,996761,Airport operation services (excluding cargo handling),8,78
4f7c2996-81d5-4b18-82a4-35540fb01825,996762,Air traffic control services,8,78
e598dbe9-9de7-4235-8414-d536159af403,996763,Other supporting services for air transport,8,78
478afebe-6415-4167-9a68-f778fe5bc079,996764,Supporting services for space transport,8,78
461c8e6c-51b3-43a4-aa3c-b6262eb0edf5,996768,Other supporting services for air transport,8,78
bcfafa1f-c6e4-4408-b3bc-414eb26ff974,996769,Supporting services for space transport,8,78
a869ac80-9cd7-46b9-8e2c-813c1e9f928e,996791,Goods transport agency services for road transport,8,78
8e207cc8-0188-4518-8c5c-6612b1e4039d,996792,Goods transport agency services for other modes of transport,8,78
dc441efe-13a8-4187-aec8-46601f9495e4,996793,Other goods transport services,8,78
54da55ef-6b1c-494d-b8e4-a49fec732b03,996799,Other supporting transport services nowhere else classified,8,78
a80343aa-2eb6-4e46-b95e-a0bc8685c3d1,996811,"Postal services including post office counter services, mail box rental services",9,78
c03bf400-a232-4fd4-85f9-54291cf65a2e,996812,Courier services,9,78
ffd4e5df-3830-4970-a2fa-6b4db20ce34a,996813,Local delivery services,9,78
7d8b6a3c-8111-4750-bf2c-f6a37ea7a113,996819,Other Delivery Services nowhere else classified,9,78
ff903101-64d1-4299-98d8-023ccca8935d,996911,Electricity transmission services,10,91
65fb8450-3359-4937-a6a5-bcf085882b06,996912,Electricity distribution services,10,91
8711b5b7-3de1-4aa8-bdb0-625fc6124c59,996913,Gas distribution services,10,91
7dfc3f58-1a01-41b3-b05d-c850db6542c2,996921,Water distribution services,10,91
998bc472-0a8d-429b-b68c-90d45fcd118f,996922,"Services involving distribution of steam, hot water and air conditioning supply and the like",10,91
d35740f4-6e01-488e-88e7-483dfb08d3b3,996929,Other similar services,10,91
1e784bdc-d68a-4a2b-8ce8-e0079fd0164f,997111,Central banking services,11,82
8b721b2d-dbf4-465b-82d8-2e1e6d5c4009,997112,Deposit services,11,82
2ac3f4fb-48d8-4e0c-972a-fbd147fd54ed,997113,"Credit-granting services including stand-by commitment, guarantees and securities",11,82
9e5ecf1d-bbae-4758-9813-d2136e9962f9,997114,Financial leasing services,11,82
73623f96-df94-4155-a186-0f7595e033e4,997115,"Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",11,82
af370d2c-3872-44fc-bad3-2ce1133f19d6,997116,Any transfer of right in goods or of undivided share in goods without the transfer of title thereof.,11,82
ad8254af-4cb4-4c60-b70a-e731fa525a08,997119,"Other financial services (except investment banking, insurance services and pension services)",11,82
d4f4a905-1426-44f9-8c72-3bca0ec18f4d,997120,Investment banking services,11,82
6bf28fc8-6a5d-465c-8767-ce14d8f5acf5,997131,pension services,11,82
9711a745-b533-4a93-b0a4-d07e8635a492,997132,Life insurance services  (excluding reinsurance services),11,82
e9de072c-768e-4b26-9a04-12b521d69f14,997133,Accident and health insurance services,11,82
aa84f59d-f522-4df4-888a-a4ad47f2b34a,997134,Motor vehicle insurance services,11,82
1cd31c0d-6e50-4558-8495-54a0138c2ab4,997135,"Marine, aviation, and other transport insurance services",11,82
4518053a-c35f-49b6-b8e8-f34f909cfacb,997136,Freight insurance services and travel insurance services,11,82
f6e2602d-d833-472d-a1ba-fd24cfbc3ecc,997137,Other property insurance services,11,82
76365020-23bc-4ee1-b879-ad3715554154,997138,Freight insurance services and travel insurance services,11,82
b0dd4c90-5170-4a40-a6a2-01006ec887bd,997139,Other non-life insurance services (excluding reinsurance services),11,82
b1f17527-ed8a-4daf-b779-9277fb303b80,997141,Life reinsurance services,11,82
3c6bfee4-8064-4102-a540-2109df853805,997142,Accident and health reinsurance services,11,82
8db56df8-a7f1-4a40-a9fe-c70fd54f1fe2,997143,Motor vehicle reinsurance services,11,82
cbc27e08-9f7a-460a-8ef5-35c2e522b4d4,997144,"Marine, aviation and other transport reinsurance services",11,82
9d3df4fd-4a33-4f46-91fe-75ed68f6191a,997145,Freight reinsurance services,11,82
131e567f-61f4-43db-bfe6-5345b8a0489a,997146,Other property reinsurance services,11,82
8084c4c6-149c-48db-b493-1e7979b22032,997147,Other property reinsurance services,11,82
bb347679-0f95-412e-8594-9e3682e68d28,997149,Other non-life reinsurance services,11,82
ee8b1803-7fc2-4ce6-b600-dbab14f18518,997151,"Services related to investment banking such as mergers and acquisition services, corporate finance and venture capital services",11,82
58ebce5e-dc0c-4b18-89a4-d7ee0040e0f0,997152,Brokerage and related securities and commodities services including commodity exchange services,11,82
b1d75b59-101d-4112-9c4c-2a88916d26e4,997153,Portfolio management services except pension funds,11,82
e36f1e62-3cf7-4bbb-a9b0-45742d43aee4,997154,Trust and custody services,11,82
d670847d-d079-4b3e-9954-b754880e5c94,997155,Services related to the administration of financial markets,11,82
78ef1807-07e2-44c1-b95a-499c1ccdb3ab,997156,Financial consultancy services,11,82
60c3f44f-6d81-4247-8641-340843612714,997157,Foreign exchange services,11,82
26998779-fcb3-48e1-8e70-5970b87718fa,997158,Financial transactions processing and clearing house services,11,82
7550b8c1-d36f-453e-9209-8bc30055b654,997159,Other services auxiliary to financial services,11,82
50a5cb70-8c74-4a22-8416-366d7cddcb28,997161,Services auxiliary to insurance and pensions,11,82
6e00aa11-5aa7-4c67-b48e-f686e2262be0,997162,Insurance claims adjustment services,11,82
98ae034b-975e-47f7-bc38-8efc14f46e04,997163,Actuarial services,11,82
c6d702f7-3798-4f7c-aa3d-993324660d52,997164,Pension fund management services,11,82
1898eedf-70ae-4416-ae9b-83fc9d2fcf1b,997169,Other services auxiliary to insurance and pensions,11,82
79e63078-f386-4f6f-8793-f895ea048604,997171,Services of holding equity of subsidiary companies,11,82
ae79d63d-6bcc-4a65-bbcf-2848f2476d45,997172,Services of holding securities and other assets of trusts and funds and similar financial entities,11,82
95af317e-422f-4d21-8c4e-dedbc80a715c,997211,Rental or leasing services involving own or leased residential property,12,93
56544cd7-9c6e-49d9-ae83-ecac3bfda10e,997212,Rental or leasing services involving own or leased non-residential property,12,93
eca09a2c-134c-4467-bbc8-4bf44c66c86d,997213,Trade services of buildings,12,93
3c90e7ec-c02b-4e93-a4d8-890e62c6fc5a,997214,Trade services of time-share properties,12,93
8d9e7459-0cb4-408f-928f-f86b420bb773,997215,Trade services of vacant and subdivided land,12,93
b14721f2-4f82-49ec-8d5d-cf35f028a402,997219,Other real estate services involving owned or leased property,12,93
09696f47-4087-4f9b-bc5d-570fc952c728,997221,Property management services on a fee or commission basis or on contract basis,12,93
8249fcc6-e9d7-4f21-b4d0-28fba9d44a7b,997222,Building sales on a fee or commission basis or on contract basis,12,93
ef67e5d7-848f-4c10-b321-35dc04bfa9ec,997223,Land sales on a fee or commission basis or on contract basis,12,93
d2fc3ab2-e3da-4bce-b512-f3c9d735810b,997224,Real estate appraisal services on a fee or commission basis or on contract basis,12,93
0b6657b9-9f5c-4ede-bb9d-8f6cdc99be3d,997229,Other real estate services on a fee or commission basis or on contract basis,12,93
594a53d0-48b4-45c8-ace7-7eaf50c676fc,997231,"Services by way of grant of development rights, FSI or additional FSI",12,93
94e0512f-7b1c-4d55-9ed3-8a07ef21ea6d,997311,"Leasing or rental services concerning transport equipments including containers, without operator",13,86
04d1828f-013d-404e-8a18-1e03ad2d480c,997312,Leasing or rental services concerning agricultural machinery and equipment without operator,13,86
2a320f8b-0756-41b6-907b-1fc371ff8a50,997313,Leasing or rental services concerning construction machinery and equipment without operator,13,86
8a3ec284-899b-46bb-9f54-9e9a1df86349,997314,Leasing or rental services concerning office machinery and equipment (except computers) without operator,13,86
4df6a775-396f-4721-a588-09186ec7b4b6,997315,Leasing or rental services concerning computers without operators,13,86
d4eca8ab-f64d-460f-834a-ef8faf8352bc,997316,Leasing or rental services concerning telecommunications equipment without operator,13,86
f166e8ec-fcf8-4090-9dc9-b7d907835be3,997317,Leasing or rental services concerning other machinery and equipment without operator,13,86
6134e51e-7540-4457-8ec0-0f85def7b424,997318,"Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",13,86
f6aecfbe-e4c2-40f6-9272-96501d8a36fb,997319,Leasing or rental services concerning other machinery and equipments without operator,13,86
3cda3a52-d39f-4534-8ac8-00564e97b8b9,997321,"Leasing or rental services concerning televisions, radios, video cassette recorders, projectors, audio systems and related equipment and accessories (home entertainment equipment )",13,86
35823fc8-c423-4c43-a2ab-0eb47a558f3f,997322,Leasing or rental services concerning video tapes and disks (home entertainment equipment ),13,86
47a2ddf8-5219-4946-8d3e-3d7a9f5ea034,997323,Leasing or rental services concerning furniture and other household appliances,13,86
374aa158-5323-4361-8cfe-70b2dc70397b,997324,Leasing or rental services concerning pleasure and leisure equipment,13,86
895ddeaf-c088-4b5e-99d6-21c995f97eb0,997325,Leasing or rental services concerning household linen,13,86
